,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
2199,2016,350000,63400,Petrol,Individual,Manual,First Owner,Honda,Brio 1.2 S,MT
2200,2015,380000,25000,Petrol,Individual,Manual,First Owner,Datsun,GO Plus T,BSIV
2201,2009,140000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,i10,Era
2202,2012,200000,90000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS,IV
2203,2011,150000,157000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing,GL
2206,2007,300000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero SLX,2WD
2207,2017,280000,50000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXT
2208,2011,200000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 2010-2014,VXI
2209,2009,110000,38500,Petrol,Individual,Manual,Second Owner,Chevrolet,Aveo U-VA 1.2 LT WO ABS,Airbag
2210,2008,140000,103921,Petrol,Individual,Manual,Second Owner,Hyundai,i10,Magna
2212,2018,1150000,14825,Petrol,Dealer,Manual,First Owner,Honda,City i-VTEC,VX
2213,2016,910000,43377,Diesel,Dealer,Manual,First Owner,Honda,BR-V i-DTEC VX,MT
2214,2010,160000,102307,Diesel,Dealer,Manual,First Owner,Ford,Figo Diesel,Titanium
2215,2004,105000,79000,Petrol,Individual,Manual,Second Owner,Maruti,Zen,LX
2218,2004,70000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R,LXI
2219,2012,160000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat,Diesel
2221,2013,225000,80000,Diesel,Individual,Manual,First Owner,Chevrolet,Sail Hatchback LT,ABS
2223,2002,145000,100000,Petrol,Individual,Manual,First Owner,Honda,City 1.3,EXI
2225,2018,930000,20000,Diesel,Individual,Manual,First Owner,Ford,EcoSport 1.5 Diesel Titanium Plus,BSIV
2227,2008,110000,154000,Diesel,Individual,Manual,Third Owner,Hyundai,Getz 1.5 CRDi,GVS
2230,2017,650000,40000,Diesel,Individual,Manual,First Owner,Renault,Lodgy Stepway 85PS RXZ,8S
2231,2019,550000,51000,Petrol,Individual,Manual,First Owner,Maruti,Swift,VXI
2232,2008,85000,120000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX,BSIII
2235,2016,509999,35000,Petrol,Individual,Manual,First Owner,Toyota,Etios 1.5,V
2274,2017,650000,70000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.3
2275,2011,140000,60000,Petrol,Individual,Manual,Second Owner,Chevrolet,Spark 1.0,LS
2276,2011,150000,70000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
2277,2018,450000,10000,Petrol,Individual,Manual,Second Owner,Datsun,GO Plus A Option,Petrol
2278,2006,170000,245244,Diesel,Individual,Manual,Fourth & Above Owner,Hyundai,Accent,CRDi
2279,2017,400000,60000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
2280,2016,300000,30000,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron,XE
2281,2012,250000,8000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,Base
2282,2019,500000,10000,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron,XM
2283,2002,85000,100000,Diesel,Individual,Manual,Third Owner,Hyundai,Accent,CRDi
2284,2012,300000,110000,Diesel,Individual,Manual,First Owner,Nissan,Sunny Diesel,XL
2286,2015,740000,45000,Diesel,Dealer,Automatic,First Owner,Mahindra,XUV500 AT W8,FWD
2287,2005,70000,68500,Petrol,Dealer,Manual,First Owner,Hyundai,Santro Xing,XG
2288,2019,484999,5007,Petrol,Dealer,Automatic,First Owner,Hyundai,Santro Sportz,AMT
2289,2013,164000,30000,Petrol,Individual,Manual,First Owner,Nissan,Micra Active XV,S
2290,2008,140000,70000,Petrol,Individual,Automatic,First Owner,Honda,City 1.5 V,AT
2291,2011,999000,49600,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,E-Class E250 CDI,Elegance
2292,2005,56000,23000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXI
2293,2006,1050000,30000,Diesel,Dealer,Automatic,First Owner,BMW,7 Series,730Ld
2294,2010,190000,38000,Petrol,Dealer,Manual,First Owner,Hyundai,Verna 1.6,VTVT
2295,2018,3899000,22000,Diesel,Dealer,Automatic,First Owner,Audi,Q5 3.0 TDI Quattro,Technology
2296,2011,235000,43100,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Sportz,1.2
2297,2017,350000,10171,Petrol,Dealer,Manual,First Owner,Datsun,GO Plus,T
2298,2015,465000,41123,Diesel,Dealer,Manual,First Owner,Renault,Duster 110PS Diesel,RxL
2299,2017,1900000,20118,Petrol,Dealer,Automatic,First Owner,Toyota,Camry Hybrid,2.5
2300,2014,450000,40000,Diesel,Dealer,Manual,First Owner,Honda,City i DTec,SV
2301,2015,790000,52517,Diesel,Dealer,Manual,First Owner,Volkswagen,Jetta 2.0L TDI,Highline
2302,2019,900000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Marazzo M2,8Str
2303,2014,450000,99117,Diesel,Dealer,Manual,First Owner,Ford,Ecosport 1.5 DV5 MT Titanium,Optional
2304,2009,135000,90000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0,LS
2305,2019,425000,3700,Petrol,Individual,Manual,First Owner,Maruti,Celerio ZXI MT,BSIV
2306,2010,100000,80000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Terra 1.4,TDI
2307,2015,650000,100000,Diesel,Individual,Manual,Second Owner,Ford,EcoSport 1.5 TDCi Titanium,BSIV
2308,2011,90000,54000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Aqua 1.4,TDI
2309,2017,250000,19000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
2310,2014,300000,120000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2311,2014,275000,30000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS,IV
2312,2017,600000,43500,Petrol,Individual,Manual,First Owner,Honda,BRV i-VTEC V,MT
2313,2016,270000,60000,Petrol,Individual,Manual,Second Owner,Renault,KWID,RXT
2314,2016,240000,70000,Petrol,Individual,Manual,Second Owner,Renault,KWID RXT,Optional
2341,2016,350000,20000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
2342,1998,65000,60000,Petrol,Dealer,Manual,Third Owner,Maruti,Omni 5 Str,STD
2343,2015,650000,58000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2344,2014,350000,40000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R LX BS,IV
2345,2005,75000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R,LXI
2346,2012,440000,70000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Asta (o) 1.4 CRDi,(Diesel)
2347,2013,270000,60000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing,GLS
2348,2014,1150000,135000,Diesel,Dealer,Manual,First Owner,Toyota,Innova 2.5 V Diesel,7-seater
2349,2015,238000,70000,Petrol,Dealer,Manual,First Owner,Maruti,Omni 8 Seater,BSII
2350,2013,1100000,40000,Petrol,Individual,Automatic,Second Owner,Mercedes-Benz,B Class B180,Sports
2351,2015,1200000,75000,Diesel,Dealer,Manual,Second Owner,Mahindra,XUV500 W10,2WD
2352,2010,260000,150000,Diesel,Individual,Manual,First Owner,Skoda,Fabia 1.2L Diesel,Ambiente
2353,2012,350000,140000,Diesel,Individual,Manual,Third Owner,Toyota,Etios,VD
2354,2015,480000,70000,Diesel,Individual,Manual,First Owner,Toyota,Etios Liva,VD
2355,2012,345000,137250,Diesel,Individual,Manual,Second Owner,Toyota,Etios Liva,GD
2356,2013,500000,110000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio,M2DI
2357,2017,595000,27000,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Asta,Option
2358,2019,1295000,9000,Diesel,Dealer,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX,Option
2359,2019,1350000,5400,Diesel,Dealer,Manual,Test Drive Car,Volkswagen,Vento 1.5 TDI Highline,BSIV
2360,2020,541000,1000,Petrol,Dealer,Manual,Test Drive Car,Renault,KWID Climber 1.0 MT Opt,BSIV
2361,2018,515000,16000,Petrol,Dealer,Manual,First Owner,Hyundai,Santro,Asta
2362,2019,894999,13000,Diesel,Dealer,Manual,Test Drive Car,Ford,Figo Aspire Titanium Plus,Diesel
2363,2012,325000,47000,Diesel,Dealer,Manual,First Owner,Renault,Pulse RxZ,Optional
2364,2018,925000,22000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4,Alpha
2365,2017,844999,30000,Petrol,Individual,Manual,First Owner,Nissan,Terrano XL,P
2366,2018,925000,20000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4,Alpha
2367,2013,300000,60000,Diesel,Individual,Manual,First Owner,Tata,Manza Club Class Quadrajet90,LX
2368,2008,650000,75000,Petrol,Individual,Manual,Second Owner,Toyota,Camry,M/t
2369,2010,175000,64000,Petrol,Dealer,Manual,First Owner,Maruti,Alto K10,LXI
2370,2015,325000,80000,Diesel,Individual,Manual,First Owner,Maruti,SX4 S Cross DDiS 320,Delta
2371,2017,600000,90000,Diesel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel,RxZ
2372,2018,700000,30000,Petrol,Individual,Manual,First Owner,Maruti,Swift ZXI,Plus
2373,2003,95000,120000,Petrol,Individual,Automatic,Second Owner,Toyota,Corolla,H3
2374,2019,490000,20000,Petrol,Dealer,Manual,First Owner,Maruti,Celerio,ZXI
2375,2013,380000,100000,Diesel,Individual,Manual,First Owner,Tata,Safari DICOR 2.2 EX,4x2
2376,2018,550000,31000,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz Dual,Tone
2377,2013,225000,47000,Petrol,Dealer,Manual,First Owner,Maruti,Alto 800,LXI
2378,2018,570000,11200,Petrol,Individual,Manual,First Owner,Tata,Nexon 1.2 Revotron,XM
2379,2018,305000,35000,Petrol,Dealer,Manual,First Owner,Maruti,Alto 800,LXI
2380,2010,240000,50000,LPG,Dealer,Manual,First Owner,Maruti,Wagon R Duo,Lxi
2381,2015,700000,55000,Diesel,Dealer,Manual,First Owner,Maruti,Ertiga SHVS,VDI
2382,2018,288000,20000,Petrol,Dealer,Manual,First Owner,Maruti,Omni E MPI STD BS,IV
2383,2017,800000,75000,Diesel,Dealer,Manual,First Owner,Mahindra,Bolero,B4
2384,2017,430000,93000,Petrol,Dealer,Manual,First Owner,Maruti,Celerio,VXI
2385,2009,195000,57000,Diesel,Dealer,Manual,Second Owner,Chevrolet,Beat Diesel LT,Option
2386,2014,325000,30000,Petrol,Dealer,Manual,First Owner,Maruti,Eeco Smiles 5 Seater,AC
2387,2013,450000,73000,Diesel,Dealer,Manual,First Owner,Renault,Duster 85PS Diesel,RxE
2388,2016,630000,65000,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire,VDI
2389,2009,250000,62000,Petrol,Dealer,Manual,Second Owner,Maruti,Swift 1.3,VXi
2390,2007,135000,85000,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GLS I - Euro,II
2391,2010,110000,73000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0,PS
2392,2012,350000,55000,Diesel,Dealer,Manual,First Owner,Maruti,Swift,ZDi
2393,2016,240000,5800,Petrol,Individual,Manual,Second Owner,Maruti,Omni E MPI STD BS,IV
2394,2009,350000,350000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 V Diesel,8-seater
2395,2018,600000,30000,Petrol,Individual,Manual,First Owner,Maruti,Swift ZXI,Plus
2396,2018,750000,20000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
2397,2018,270000,20000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
2398,2007,90000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
2399,2013,350000,65000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R Stingray,VXI
2400,2013,285000,90000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel Celebration,Edition
2401,2011,665000,267000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 E Diesel MS,7-seater
2402,2005,175000,250000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio 2.6,CRDe
2403,2011,350000,140000,Diesel,Individual,Manual,Second Owner,Mahindra,Xylo,D2
2404,2018,1225000,22000,Petrol,Dealer,Automatic,First Owner,Honda,City i-VTEC CVT,ZX
2405,2010,285000,60000,Petrol,Dealer,Manual,Second Owner,Honda,Jazz Select Edition,Active
2406,2018,1000000,28635,Petrol,Dealer,Manual,First Owner,Honda,City i-VTEC,VX
2407,2018,780000,32114,Diesel,Dealer,Manual,First Owner,Honda,Amaze VX Diesel,BSIV
2408,2014,300000,82000,Petrol,Dealer,Manual,Second Owner,Maruti,Celerio,VXI
2409,2006,160000,95149,Petrol,Dealer,Manual,Second Owner,Maruti,Swift VXI,BSIII
2410,2018,625000,68458,Petrol,Dealer,Manual,First Owner,Honda,Amaze VX,i-VTEC
2411,2010,265000,42000,Petrol,Individual,Manual,First Owner,Maruti,Ritz,VXi
2412,2014,515000,90000,Diesel,Individual,Manual,Second Owner,Honda,City i DTEC,V
2421,2016,650000,100000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Active 1.4,SX
2422,2017,650000,80000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300,T8
2423,2010,150000,105546,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3,GLS
2424,2018,500000,10000,Petrol,Individual,Manual,First Owner,Toyota,Etios Liva 1.2,V
2425,2012,1000000,80000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 GX 7 STR,BSIV
2426,2013,340000,35000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna Optional,1.2
2428,2013,1010000,120000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 8,Seater
2429,2011,350000,120000,Diesel,Individual,Manual,Third Owner,Toyota,Etios,GD
2430,2016,595000,70000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
2431,2014,700000,130000,Diesel,Individual,Manual,Third Owner,Mahindra,Scorpio VLX 2WD,BSIV
2432,2019,265000,40000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXL
2433,2015,320000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto K10,VXI
2434,2011,310000,110000,Petrol,Individual,Manual,First Owner,Honda,City 1.5 S,MT
2435,2014,700000,130000,Diesel,Individual,Manual,First Owner,Honda,City i DTEC,VX
2436,2009,130000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,BSIII
2437,2009,150000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDi
2438,2015,300000,104000,Diesel,Individual,Manual,Second Owner,Honda,Amaze E,i-Dtech
2439,2011,150000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Swift Dzire,LXi
2440,2003,120000,132343,Petrol,Individual,Manual,Second Owner,Honda,City 1.3,EXI
2441,2016,950000,90000,Diesel,Individual,Manual,Second Owner,Hyundai,Creta 1.4 CRDi S,Plus
2442,2007,100000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
2443,2015,450000,76000,Diesel,Individual,Manual,First Owner,Honda,Jazz 1.5 SV i,DTEC
2444,2004,30000,60000,Petrol,Individual,Manual,Third Owner,Maruti,800,EX
2445,2009,200000,30000,Petrol,Individual,Manual,Second Owner,Mahindra,Renault Logan 1.6 Petrol,GLSX
2446,2010,250000,96000,Diesel,Individual,Manual,Second Owner,Tata,Indigo,LS
2460,2015,280000,26134,Petrol,Dealer,Manual,First Owner,Maruti,Alto,VXi
2464,2011,260000,52895,Diesel,Dealer,Manual,First Owner,Maruti,Ritz,VDi
2465,2013,550000,42324,Diesel,Dealer,Manual,Second Owner,Hyundai,Verna SX,Diesel
2466,2016,1044999,65000,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500 W10 1.99,mHawk
2467,2012,550000,60236,Diesel,Dealer,Manual,First Owner,Mahindra,Scorpio,EX
2468,2014,210000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
2469,2014,210000,70000,Petrol,Individual,Manual,Third Owner,Maruti,Wagon R VXI BS,IV
2470,2009,290000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,Xylo,E8
2471,2008,250999,110000,Diesel,Individual,Manual,First Owner,Fiat,500,Lounge
2472,2019,600000,10300,Petrol,Individual,Manual,First Owner,Renault,Triber RXT,BSIV
2473,2014,270000,120000,Diesel,Individual,Manual,Second Owner,Fiat,Grande Punto EVO 1.3,Active
2474,2012,550000,142000,Diesel,Individual,Manual,First Owner,Tata,New Safari 4X4,EX
2475,2017,800000,25000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300 mHAWK100,T8
2476,2020,500000,5000,Petrol,Individual,Manual,First Owner,Tata,Altroz,XE
2478,2016,396000,28643,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz,BSIV
2479,2014,600000,50000,Diesel,Individual,Manual,First Owner,Honda,City i DTEC,VX
2480,2019,575000,30000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R ZXI,1.2
2481,2020,520000,5000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Sportz,BSIV
2482,2018,1400000,30000,Diesel,Individual,Automatic,First Owner,Mahindra,XUV500 AT W10,FWD
2483,2018,600000,7600,Petrol,Individual,Automatic,First Owner,Maruti,Baleno Delta,Automatic
2484,2013,195000,47253,Diesel,Dealer,Manual,First Owner,Chevrolet,Beat Diesel,LS
2485,2015,281000,4432,Petrol,Dealer,Automatic,Second Owner,Maruti,Alto K10 VXI,AGS
2486,2010,75000,110000,Petrol,Individual,Manual,Second Owner,Tata,Indica GLS BS,IV
2487,2014,400000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Sportz
2488,2009,93000,70000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Terra 1.4,TDI
2489,2016,560000,68523,Petrol,Dealer,Manual,First Owner,Hyundai,i20 Active S,Petrol
2490,2019,400000,5000,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Era,Plus
2491,2018,459999,40000,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron,XT
2492,2017,450000,43000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.2 CRDi,E
2493,2010,88000,80251,CNG,Dealer,Manual,Second Owner,Maruti,Alto Green LXi,(CNG)
2494,2010,250000,34500,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2,Era
2495,2000,22000,42743,Petrol,Dealer,Manual,Third Owner,Ford,Ikon 1.4,ZXi
2496,2013,130000,93900,Diesel,Individual,Manual,Second Owner,Chevrolet,Beat Diesel,LS
2497,2004,79000,80000,Petrol,Individual,Manual,First Owner,Maruti,Zen VXi - BS,III
2498,2012,120000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LS
2499,2011,1700000,100000,Diesel,Individual,Automatic,Second Owner,BMW,7 Series,730Ld
2500,2012,300000,25000,Diesel,Individual,Manual,First Owner,Chevrolet,Optra Magnum 2.0,LT
2502,2009,145000,25000,Petrol,Individual,Manual,First Owner,Maruti,A-Star,Lxi
2503,2019,3200000,20000,Diesel,Individual,Automatic,First Owner,Ford,Endeavour 3.2 Titanium AT,4X4
2504,2013,240000,10000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0,LT
2505,2018,700000,30000,Diesel,Individual,Manual,First Owner,Honda,WR-V i-DTEC,VX
2506,2010,145000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,Accent,GLX
2507,2014,535000,80000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga VDI Limited,Edition
2508,2016,420000,21000,Petrol,Individual,Manual,First Owner,Mahindra,KUV 100 mFALCON G80 K2,Plus
2509,2016,350000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,VXI
2510,2015,550000,32000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
2511,2007,750000,180000,Diesel,Individual,Manual,First Owner,Mitsubishi,Montero 3.2,MT
2512,2012,198000,70000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.3 Quadrajet ABS,BSIV
2513,2013,420000,50000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Magna Optional 1.4,CRDi
2515,2004,195000,120000,Diesel,Individual,Manual,First Owner,Ford,Endeavour 4x2,XLT
2516,2012,150000,55766,Petrol,Individual,Manual,Second Owner,Hyundai,EON,Sportz
2517,2011,275000,40000,Petrol,Individual,Manual,Second Owner,Nissan,Micra,XL
2518,2001,65000,60000,Petrol,Individual,Manual,Third Owner,Maruti,800,Std
2519,2008,200000,50000,Petrol,Individual,Manual,First Owner,Maruti,Swift LXi,BSIV
2520,2010,250000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDi
2528,2013,182000,100000,Diesel,Individual,Manual,First Owner,Tata,Indigo,TDI
2541,2001,85000,86000,Petrol,Individual,Manual,Second Owner,Maruti,Zen,VX
2542,2013,400000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
2543,2017,650000,20000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Delta,1.3
2544,2010,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Magna,1.2
2545,2012,295000,80000,Diesel,Individual,Manual,Second Owner,Tata,Manza Aura (ABS) Quadrajet BS,IV
2546,2006,60000,135000,LPG,Individual,Manual,Fourth & Above Owner,Maruti,Omni LPG STD,BSIV
2547,2003,110000,120000,Diesel,Individual,Manual,Third Owner,Maruti,Zen D,PS
2548,2015,550000,113600,Diesel,Individual,Manual,First Owner,Fiat,Linea 1.3 Multijet,Emotion
2549,2008,190000,70000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing,GLS
2550,2018,861999,20000,Diesel,Dealer,Manual,First Owner,Ford,Aspire Titanium Plus Diesel,BSIV
2551,2018,782000,14000,Petrol,Dealer,Manual,First Owner,Ford,Aspire Titanium Plus,BSIV
2552,2018,836000,26000,Diesel,Dealer,Manual,First Owner,Ford,Freestyle Titanium Plus Diesel,BSIV
2553,2016,696000,138925,Petrol,Dealer,Manual,First Owner,Honda,City i VTEC,V
2554,2016,596000,121764,Diesel,Dealer,Manual,First Owner,Honda,Jazz 1.5 VX i,DTEC
2555,2016,612000,105429,Petrol,Dealer,Manual,First Owner,Honda,Jazz 1.2 VX i,VTEC
2556,2015,114999,35000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
2557,2017,340000,60000,Diesel,Individual,Manual,First Owner,Tata,Bolt Quadrajet,XE
2558,2020,550000,5000,Petrol,Individual,Manual,First Owner,Maruti,Swift ZXI,Plus
2559,2008,114999,70000,Petrol,Individual,Manual,Third Owner,Chevrolet,Aveo U-VA 1.2,LT
2560,2000,105000,80000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R,VXI
2561,2019,890000,20000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza,ZDi
2562,2019,715000,8000,Petrol,Individual,Manual,First Owner,Tata,Nexon 1.2 Revotron XZ,Plus
2563,2014,525000,54000,Petrol,Dealer,Manual,Second Owner,Hyundai,i20 Asta,(o)
2569,2014,475000,23122,Petrol,Dealer,Manual,Second Owner,Hyundai,i20 Asta,1.2
2576,2012,349000,44500,Diesel,Dealer,Manual,Second Owner,Chevrolet,Cruze,LT
2581,2017,825000,13599,Petrol,Dealer,Automatic,First Owner,Volkswagen,Polo,GTI
2584,2014,550000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio SLE,BSIV
2585,2006,95000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Swift 1.3 VXI,ABS
2586,2014,725000,90000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G (Diesel) 7,Seater
2587,2019,670000,17000,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron XZ,Option
2588,2008,65000,140000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
2589,2015,500000,50000,Diesel,Individual,Manual,Second Owner,Mahindra,Xylo,D4
2590,2017,600000,53000,Petrol,Individual,Manual,First Owner,Mahindra,KUV 100 mFALCON G80 K8,5str
2591,2017,350000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,Optional
2592,2012,200000,70000,Diesel,Individual,Manual,Second Owner,Chevrolet,Beat Diesel,LT
2594,2012,150000,80000,Petrol,Individual,Manual,First Owner,Hyundai,EON,Sportz
2595,2003,75000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Zen D,PS
2596,2013,350000,90000,Diesel,Individual,Manual,Second Owner,Honda,Amaze EX,i-Dtech
2597,2018,1700000,15000,Diesel,Individual,Manual,First Owner,Toyota,Innova Crysta 2.4 VX MT 8S,BSIV
2598,2011,890000,86000,Diesel,Individual,Automatic,Second Owner,BMW,X1,sDrive20d
2599,2014,500000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio,M2DI
2600,2019,600000,5200,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Sportz Plus Dual Tone,BSIV
2601,2010,99000,60000,Petrol,Individual,Manual,Second Owner,Chevrolet,Beat,LS
2602,2011,235000,46000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Era 1.1 iTech,SE
2603,2006,75000,40000,Petrol,Individual,Manual,Second Owner,Tata,Indigo,GLX
2604,2014,600000,90000,Diesel,Individual,Manual,Second Owner,Honda,City i DTEC,VX
2605,2019,1000000,25000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi 1.6,SX
2606,2012,390000,90000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6,SX
2607,2015,600000,70000,Diesel,Individual,Manual,First Owner,Volkswagen,Polo 1.5 TDI,Highline
2608,2017,600000,70000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2,Spotz
2609,2019,730000,35000,Diesel,Individual,Manual,Second Owner,Hyundai,Elite i20 Magna Plus,Diesel
2610,2017,450000,12700,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna,AT
2611,2011,250000,80000,Diesel,Individual,Manual,First Owner,Maruti,Ritz,LDi
2612,2018,1400000,20000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W10,2WD
2613,2018,300000,20000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
2614,2017,800000,19000,Petrol,Individual,Manual,First Owner,Ford,EcoSport 1.5 Petrol Titanium,BSIV
2615,2009,125000,95000,Diesel,Individual,Manual,Second Owner,Fiat,Grande Punto Active,(Diesel)
2618,2012,295000,90000,Diesel,Individual,Manual,First Owner,Volkswagen,Polo Diesel Trendline,1.2L
2619,2013,650000,45839,Petrol,Dealer,Manual,First Owner,Ford,Ecosport 1.0 Ecoboost Platinum Edition,BSIV
2620,2010,200000,74510,Petrol,Dealer,Manual,First Owner,Chevrolet,Aveo 1.4,LS
2621,2009,130000,87293,Petrol,Dealer,Manual,First Owner,Chevrolet,Aveo U-VA 1.2,LS
2622,2012,250000,156040,Diesel,Dealer,Manual,First Owner,Ford,Figo Diesel,EXI
2623,2004,400000,93415,Diesel,Dealer,Manual,First Owner,Ford,Endeavour 2.5L 4X2,MT
2624,2017,430000,101159,Petrol,Dealer,Manual,First Owner,Ford,Aspire Titanium,BSIV
2625,2015,170000,80000,Petrol,Individual,Manual,Second Owner,Hyundai,EON 1.0 Kappa Magna,Plus
